selected_areas
sun_area_36
sun_area_21
sun_area_31
sun_area_6
sun_area_5
sun_area_1
sun_area_16
sun_area_11
sun_area_4
sun_area_22
wind_area_5
wind_area_36
wind_area_31
wind_area_15
wind_area_29
wind_area_40
wind_area_1
wind_area_20
wind_area_2
wind_area_25
temp_area_25
temp_area_15
temp_area_36
temp_area_40
temp_area_14
temp_area_11
temp_area_39
temp_area_20
temp_area_19
temp_area_37
price
