selected_areas
sun_area_21
sun_area_6
sun_area_5
sun_area_17
sun_area_40
sun_area_11
sun_area_2
sun_area_36
sun_area_18
sun_area_4
sun_area_1
sun_area_19
sun_area_31
wind_area_5
wind_area_1
wind_area_36
wind_area_40
wind_area_30
wind_area_2
wind_area_15
wind_area_16
wind_area_10
wind_area_29
wind_area_4
wind_area_38
wind_area_11
price
