selected_areas
sun_area_23
sun_area_8
sun_area_34
sun_area_10
sun_area_21
sun_area_37
sun_area_25
sun_area_31
sun_area_6
sun_area_4
sun_area_2
sun_area_35
sun_area_17
wind_area_22
wind_area_35
wind_area_12
wind_area_9
wind_area_16
wind_area_31
wind_area_19
wind_area_32
wind_area_1
wind_area_3
wind_area_25
wind_area_10
wind_area_24
price
