selected_areas
sun_area_13
sun_area_14
sun_area_18
sun_area_19
sun_area_17
sun_area_22
sun_area_26
sun_area_27
sun_area_32
sun_area_33
wind_area_2
wind_area_7
wind_area_8
wind_area_23
wind_area_28
wind_area_29
wind_area_13
wind_area_32
wind_area_37
wind_area_26
price
