selected_areas
sun_area_6
sun_area_11
sun_area_1
sun_area_16
sun_area_7
sun_area_2
sun_area_3
sun_area_21
sun_area_8
sun_area_26
wind_area_12
wind_area_13
wind_area_17
wind_area_16
wind_area_18
wind_area_27
wind_area_7
wind_area_11
wind_area_6
wind_area_22
price
