feature_group,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,elapsed_time_mean,elapsed_time_std
base_only,BASELINE,320.7174837531882,138.3371637194616,259.3270916854167,126.17663395242863,3039507399963847.0,4569075175886904.0,-0.3223041490803723,1.0427193915515915,0.0220912600052543,0.0006827360749814379
base_only,LGBM,325.99975090276877,74.1113074713243,258.3062770264485,65.99798756472728,1.1517739143683802e+16,1.0532993051504568e+16,-0.21347936527868935,0.5330323608738836,71.28239109999268,3.3926762112381055
base_only,ARIMA,239.30492639962458,58.840329053901044,196.29049124728374,47.834112505819306,9258566414691812.0,1.274462186654687e+16,0.3176133914043632,0.3830202088028287,31.117065860005095,3.5799686114950173
base_only,NEURALPROPHET,245.31617420504213,50.64817403703518,204.81582932868042,48.07452484906357,9713389517126660.0,1.594382025532054e+16,0.29375420962261684,0.35824450251423395,16.70661655998556,0.49733617922258644
custom_area_0,BASELINE,320.7174837531882,138.3371637194616,259.3270916854167,126.17663395242863,3039507399963847.0,4569075175886904.0,-0.3223041490803723,1.0427193915515915,0.02655779999913648,0.01090559831783893
custom_area_0,LGBM,199.04780096249084,34.59788425102272,154.3600996071105,28.52495433567391,6957047522631142.0,8708578380952093.0,0.5472106349037016,0.15814595011285826,79.33343514001463,2.9592470255941796
custom_area_0,ARIMA,200.47205212346995,40.19447264146702,158.74834355256155,34.54031503111721,9873083514493590.0,1.319018983948649e+16,0.5306108107416284,0.21828026427242883,227.94600066001294,11.462831408750668
custom_area_0,NEURALPROPHET,230.69486063281252,198.17274733762048,230.69486063281252,198.17274733762048,0.1886048799690692,0.11372023906758283,,,22.848371720011347,0.45522237665160104
all_areas,BASELINE,320.7174837531882,138.3371637194616,259.3270916854167,126.17663395242863,3039507399963847.0,4569075175886904.0,-0.3223041490803723,1.0427193915515915,0.023017640004400163,0.005166014147651216
all_areas,LGBM,221.5224486202134,25.447406604828064,176.06193567763748,18.906578963679323,8165118876109411.0,7335855106482886.0,0.45063528760376564,0.11468993064940707,83.73582686000736,2.048410407038063
all_areas,ARIMA,202.0498221522402,32.8979188466143,159.1560312886694,30.784950703485407,1.0458595650288118e+16,1.3415711707346482e+16,0.5318416802069235,0.17606675351135143,574.5907381800004,49.492765776545625
all_areas,NEURALPROPHET,217.87330301562503,198.02131935089474,217.87330301562503,198.02131935089474,0.1794849665293678,0.12998361492084326,,,32.97297553999815,0.3203622420910713
