selected_areas
sun_area_23
sun_area_8
sun_area_39
sun_area_9
sun_area_16
sun_area_31
sun_area_30
sun_area_33
sun_area_6
sun_area_20
wind_area_22
wind_area_34
wind_area_7
wind_area_10
wind_area_16
wind_area_32
wind_area_24
wind_area_31
wind_area_1
wind_area_5
price
