feature_group,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,elapsed_time_mean,elapsed_time_std
all_areas,BASELINE,320.1208842803624,56.78973534269668,243.17591948437496,39.28215786462048,3191535282793758.0,4508537575356231.0,-0.1670175085434669,0.3767700728088954,0.0088352999979785,0.0012473127188863
all_areas,LGBM,245.10956986294823,29.89448079599707,193.9731252009873,27.755542370774773,2.291627871233296e+16,2.790677951188988e+16,0.3245255782985384,0.1652355839727004,81.57690880000398,1.6309042625549832
all_areas,ARIMA,215.07823897074476,34.23978545978757,172.59337249959722,33.43091073145633,1.4757249013379862e+16,1.627580447710841e+16,0.4442473272988998,0.20329423778860983,1499.4542711326242,70.11543479100965
all_areas,NEURALPROPHET,304.5778810072124,37.48260901895874,242.6648401716716,29.14417696489881,1.0724365357168958e+16,1.10809529705581e+16,-0.0411306429652075,0.2450518382280374,173.55886059999952,18.8893617033595
all_areas,TimeGPT,614.1833433512447,21.78546049746666,559.9458290208333,22.78092815104162,7.066420177568678e+16,4.663456338703275e+16,-3.376413838599129,0.4351466501061054,5.073801250000543,0.2325946499986457
