feature_group,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,elapsed_time_mean,elapsed_time_std
all_areas,BASELINE,320.12088428036236,56.78973534269668,243.17591948437496,39.28215786462048,3191535282793758.0,4508537575356231.0,-0.16701750854346695,0.3767700728088954,0.008680166666939234,0.001303624567695838
all_areas,LGBM,244.4217804807947,8.146609932503846,198.91630346685247,4.120100947586171,1.6318241526457376e+16,1.4259308543011648e+16,0.3397823823385731,0.018556379440642628,79.49940496666629,1.5905778423519203
all_areas,NEURALPROPHET,345.0827446417423,88.50093457367136,281.16020336979335,73.51198039966475,2.5970839503270452e+16,3.4157541119125588e+16,-0.42331238791442044,0.7356350223568341,166.4038982333344,0.31590714923771956
all_areas,TimeGPT,460.3232051864018,123.8024201258062,400.311609859375,128.5818762964267,4.209252737424891e+16,4.515660531328189e+16,-1.5963591573570042,1.3222247146990562,5.109712500003904,0.19979138273935207
