feature_group,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,elapsed_time_mean,elapsed_time_std
base_only,BASELINE,320.12088428036236,56.78973534269668,243.17591948437496,39.28215786462048,3191535282793758.0,4508537575356231.0,-0.16701750854346695,0.3767700728088954,0.00936729998405402,0.0013080878714105085
base_only,LGBM,351.3762509265489,86.29749686848035,283.7846941676188,75.02111539037746,1.4745970925495846e+16,1.1364226139596626e+16,-0.405926652641746,0.6100916789415384,75.27530879998812,5.556515272781164
base_only,ARIMA,266.61981786539894,60.723048710764616,217.16589535392134,50.58680426690258,1.3148937193472056e+16,1.5002005958513654e+16,0.15828103432931054,0.4179868152482057,28.82492200001919,3.1202585885423604
base_only,NEURALPROPHET,326.15358998893447,99.0124453893611,265.72245305631,84.41620014206799,1.3417647483912288e+16,1.4873512089913736e+16,-0.30971906526960485,0.7956726287965682,118.232288133353,8.960795276918628
base_only,TimeGPT,285.7014854548834,94.48680503489021,223.8357853427083,66.54386297113756,8356630550844364.0,1.1578361897407102e+16,-0.03748556577443707,0.7447040127859761,6.55986883334117,0.37627602918449166
custom_area_0,BASELINE,320.12088428036236,56.78973534269668,243.17591948437496,39.28215786462048,3191535282793758.0,4508537575356231.0,-0.16701750854346695,0.3767700728088954,0.007874766655731946,0.0005098139791354518
custom_area_0,LGBM,227.23299495156644,19.501855127026538,179.157649244642,17.70873165000064,1.818213426238293e+16,2.510450194748517e+16,0.4280225471607347,0.07448479441955128,90.4221309000083,4.5300951790163655
custom_area_0,ARIMA,222.41457556779127,39.97036778536363,176.73663990606414,37.243926105610974,1.4208663663829536e+16,1.4866446661651572e+16,0.4266466475456155,0.234809322365813,208.26084963333173,14.885773027151146
custom_area_0,NEURALPROPHET,291.7715743775074,47.778598581681976,237.1003110201416,39.96863702557779,1.1949040683275678e+16,1.4872852255406266e+16,0.033751444377524975,0.2948396104028078,148.73989110001517,16.39010760700769
custom_area_0,TimeGPT,506.3302406551534,153.0739386317862,446.7335411267361,162.75727626962296,4.7511716233675736e+16,5.296999467764201e+16,-2.2097391420163786,1.8449166698990676,11.313240533325976,4.870796569348379
all_areas,BASELINE,320.12088428036236,56.78973534269668,243.17591948437496,39.28215786462048,3191535282793758.0,4508537575356231.0,-0.16701750854346695,0.3767700728088954,0.00935046667776381,0.0021623471442609767
all_areas,LGBM,237.35583217451475,17.639144252500806,189.69398909059382,7.346397859185864,9635005762248334.0,7785017997337205.0,0.3770722105221851,0.06285311579915284,88.66974860000967,0.890452469049829
all_areas,ARIMA,216.63046998695324,34.8019943821114,172.0772530796288,33.31288258236886,1.472945928987433e+16,1.5601947076023788e+16,0.4616358293517619,0.19358250460544502,579.0196925666727,44.56389687586265
all_areas,NEURALPROPHET,313.3337217077712,41.46396215688228,253.45253034839718,31.3665380681622,7226560693957147.0,8991215967029020.0,-0.10772080082654212,0.29632604722653794,176.54047163331416,7.736645148465753
all_areas,TimeGPT,526.3514675695036,156.34066590801052,464.72951759895835,167.64130763184835,5.005317905295667e+16,5.526545285637337e+16,-2.4561877348870897,1.9422122903453813,11.654376166678654,6.367326616600561
